Dish_Category,Dish_Name,Ingredients,Total_Calories_(kcal),Total_Protein_(g),Total_Carbs_(g),Total_Fats_(g),Flavor_Profile,Feel/Texture,Description,Price,Vegan,Vegetarian,Non-vegetarian,Keto,Gluten-free,Jain
Colds,Truffle Mushroom Sushi,"Beetroot Pink Rice, Sautéed Mushroom, Truffle Mayo, Truffle Oil, Seaweed, Wasabi, Kikkoman, Radish Stand",290.5,8.2,33.5,14,"Umami, Earthy","Creamy, Chewy",Earthy sushi with truffle-infused mushrooms.,500,Yes,Yes,No,No,Yes,No
Colds,Ebi Prawn Tempura,"Tempura Prawn, Togarashi Powder, Spicy Mayo, Wasabi Mayo, Tanuki, Hot Sriracha, Avocado, Seaweed, Wasabi, Kikkoman, Radish Stand",350.8,16.5,26.8,20,"Spicy, Savory","Crispy, Tender",Crispy tempura prawns with a spicy kick.,500,No,No,Yes,No,No,No
Colds,Som Tom Salad,"Raw Papaya, Raw Mango, Orange Segment, Cherry Tomato, Carrot, Bean Sprouts, Fresh Beans, Peanut Bar, Crushed Peanuts, Coriander",190,6,30,6.5,"Tangy, Fresh","Crunchy, Light",Tangy and refreshing papaya and mango salad.,500,Yes,Yes,No,No,Yes,Yes
Colds,Philly Cream Cheese,"Asparagus Tempura, Blue Pea Rice, Nori Sheet, Cream Cheese, Avocado, Cucumber, Carrots, Chives, Wasabi, Kikkoman, Radish Stand",370,13,32,22,"Creamy, Savory","Creamy, Crisp",Creamy sushi with asparagus and avocado.,500,No,Yes,No,No,Yes,Yes
Colds,Chicken Katsu Sushi,"Sushi Rice, Nori Sheet, Katsu Chicken, Teriyaki Sauce, Tanuki, White Sesame Seeds, Avocado, Cream Cheese, Asparagus Blanch, Guacamole, Wasabi, Kikkoman, Radish Stand",450,20,48,25,"Savory, Sweet","Crispy, Chewy",Crispy chicken sushi with teriyaki glaze.,500,No,No,Yes,No,No,No
Colds,Watermelon Salad,"Watermelon, Goat Cheese, Black Grapes, Malta Orange, Dill Leaves, Micro Greens, Crackers",160,5,23,6,"Sweet, Tangy","Juicy, Crisp",Sweet and tangy salad with watermelon and goat cheese.,500,No,Yes,No,No,Yes,Yes
Colds,Tempura Asparagus,"Asparagus, Cream Cheese, Cucumber, Avocado, Iceberg Lettuce, White Sesame, Charkol Sushi Rice, Seaweed, Wasabi, Kikkoman, Radish Stand",300,9,27,17,"Savory, Herbal","Crispy, Tender",Crispy asparagus tempura with creamy fillings.,500,No,Yes,No,No,No,Yes
Colds,Salmon California,"Sushi Rice, Nori Sheet, Crabsticks, Kewpie Mayo, Salmon Fish, Cucumber, Avocado, Tobiko, Wasabi, Kikkoman, Radish Stand",330,18,30,15,"Umami, Sweet","Creamy, Chewy",Classic sushi roll with salmon and avocado.,500,No,No,Yes,No,Yes,No
Colds,Vegan Millets,"Boiled Quinoa, Chopped Tomato, Pickled Onions, Mint, Lemon Dressing, Tofu, Teriyaki Sauce",260,13,36,9,"Tangy, Herbal","Grainy, Light",Light and tangy vegan dish with quinoa and tofu.,500,Yes,Yes,No,No,Yes,Yes
Colds,Winter Salad,"Roasted Beetroots, Lollorosso Lettuce, Rocket Lettuce, Iceberg Lettuce, Goat Cheese Mousse, Orange Reduction, Segment Orange, Strawberry, Orange Zest, Walnut Chikki",190,7,22,10,"Sweet, Earthy","Crisp, Creamy",Sweet roasted beetroot salad with goat cheese.,500,No,Yes,No,No,Yes,Yes
Colds,Strawberry Sushi Roll,"Cream Cheese, Strawberry Compote, Avocado, White Sesame Seeds, Red Rice, Nutella Dip, Nori Sheet",340,9,42,13,"Sweet, Creamy","Chewy, Creamy",Sweet sushi roll with strawberries and Nutella.,500,No,Yes,No,No,Yes,Yes
Colds,Truffle Avocado Salad,"Baby Spinach, Truffle Oil, Salt, English Cucumber, Edamame, Avocado, Parmesan Cheese, Black Sesame, Pistachio",230,10,16,18,"Earthy, Creamy","Creamy, Crisp",Creamy avocado salad with truffle oil and parmesan.,500,No,Yes,No,Yes,Yes,Yes
Colds,Spicy Tuna Sushi,"Sushi Rice, Nori Sheet, Black Sesame Seeds, Kewpie Mayo, Sriracha, Tanuki, Tuna Flesh, Togarashi, Spicy Peanut Sauce, Sesame Oil, Spring Onion",360,22,32,16,"Spicy, Umami","Chewy, Creamy",Spicy sushi with tuna and a hint of peanut sauce.,500,No,No,Yes,No,Yes,No
Pizza,Burrata Mozzarella with Basil Pesto,"Pizza Base, Pizza Sauce, Cheese Mix, Burrata, Basil Pesto, Basil, Salt, Parmesan, Herb Butter, Garlic Aioli",850,32,75,45,"Creamy, Herbal","Creamy, Soft",Creamy pizza with burrata and fresh basil pesto.,500,No,Yes,No,No,No,Yes
Pizza,Shish Taouk Pizza with Cottage Cheese / Chicken,"Pizza Base, Pizza Sauce, Cheese Mix, Chicken/Cottage Cheese Shish Taouk, Charred Onion, Micro Greens, Coriander, Parmesan, Herb Butter, Garlic Aioli",900,40,80,50,"Savory, Herbal","Crispy, Juicy",Juicy pizza with spiced chicken or cottage cheese.,500,No,Yes (Cottage Cheese) / No (Chicken),Yes (Chicken),No,No,Yes (Cottage Cheese) / No (Chicken)
Pizza,Falafel Soulvaki,"Pita Bread, Falafel, Iceberg Lettuce, French Fries, Garlic Mayo, Gerkins, Pickle Carrots, Pickle Beetroot, Garlic Butter, Garlic Aioli, Thecha Taoum, Greek Salad",700,25,90,30,"Tangy, Spicy","Crunchy, Soft",Spicy and tangy pizza with falafel and garlic mayo.,500,Yes,Yes,No,No,No,No
Pizza,Pesto Pizza with Confit Tomatoes and Ricotta,"Pizza Base, Pesto Sauce, Cheese Mix, Black Olives, Ricotta, Parmesan, Cherry Tomatoes, Herb Butter, Garlic Aioli",820,30,70,40,"Herbal, Tangy","Creamy, Crisp",Herb-packed pizza with ricotta and sweet tomatoes.,500,No,Yes,No,No,No,Yes
Pizza,BBQ Pizza with Cottage Cheese / Chicken,"Pizza Base, Pizza Sauce, Cheese Mix, Chicken/Cottage Cheese Shish Taouk, BBQ Sauce, Fresh Jalapenos, Micro Greens, Charred Onion, Parmesan, Herb Butter, Garlic Aioli",950,45,85,55,"Smoky, Spicy","Crispy, Juicy",Smoky BBQ pizza with jalapenos and charred onions.,500,No,Yes (Cottage Cheese) / No (Chicken),Yes (Chicken),No,No,Yes (Cottage Cheese) / No (Chicken)
Pizza,Pepperoni Pizza,"Pizza Base, Pizza Sauce, Cheese Mix, Pepperoni, Parmesan, Herb Butter, Garlic Aioli",880,35,75,50,"Savory, Spicy","Crispy, Chewy",Classic spicy pizza with pepperoni and parmesan.,500,No,No,Yes,No,No,No
Pizza,Chicken Soulvaki,"Pita Bread, Shish Taouk Chicken, Iceberg Lettuce, French Fries, Garlic Mayo, Gerkins, Pickle Carrots, Pickle Beetroot, Garlic Butter, Garlic Aioli, Thecha Taoum, Greek Salad",750,38,85,35,"Savory, Tangy","Crunchy, Juicy",Tangy pizza with spiced chicken and garlic flavors.,500,No,No,Yes,No,No,No
